Currency,Date,Time,DateTime
USD,12/31/2024,10:00 AM,31.12.2024 10:00
USD,12/31/2024,11:00 AM,31.12.2024 11:00
EUR,12/30/2024,4:00 AM,30.12.2024 4:00
USD,12/30/2024,10:45 AM,30.12.2024 10:45
USD,12/30/2024,11:00 AM,30.12.2024 11:00
USD,12/26/2024,9:30 AM,26.12.2024 9:30
USD,12/24/2024,9:30 AM,24.12.2024 9:30
USD,12/24/2024,9:30 AM,24.12.2024 9:30
USD,12/24/2024,11:00 AM,24.12.2024 11:00
USD,12/24/2024,11:00 AM,24.12.2024 11:00
EUR,12/22/2024,5:00 AM,22.12.2024 5:00
USD,12/20/2024,9:30 AM,20.12.2024 9:30
USD,12/20/2024,11:00 AM,20.12.2024 11:00
EUR,12/19/2024,4:15 AM,19.12.2024 4:15
EUR,12/19/2024,4:15 AM,19.12.2024 4:15
EUR,12/19/2024,4:30 AM,19.12.2024 4:30
EUR,12/19/2024,4:30 AM,19.12.2024 4:30
EUR,12/19/2024,5:00 AM,19.12.2024 5:00
EUR,12/19/2024,5:00 AM,19.12.2024 5:00
USD,12/19/2024,9:30 AM,19.12.2024 9:30
USD,12/19/2024,9:30 AM,19.12.2024 9:30
USD,12/19/2024,9:30 AM,19.12.2024 9:30
USD,12/19/2024,9:30 AM,19.12.2024 9:30
USD,12/19/2024,11:00 AM,19.12.2024 11:00
USD,12/18/2024,9:30 AM,18.12.2024 9:30
USD,12/18/2024,3:00 PM,18.12.2024 15:00
USD,12/18/2024,3:00 PM,18.12.2024 15:00
USD,12/18/2024,3:00 PM,18.12.2024 15:00
USD,12/18/2024,3:30 PM,18.12.2024 15:30
USD,12/17/2024,9:30 AM,17.12.2024 9:30
USD,12/17/2024,9:30 AM,17.12.2024 9:30
USD,12/16/2024,9:30 AM,16.12.2024 9:30
USD,12/16/2024,10:45 AM,16.12.2024 10:45
USD,12/16/2024,10:45 AM,16.12.2024 10:45
EUR,12/12/2024,9:15 AM,12.12.2024 9:15
EUR,12/12/2024,9:15 AM,12.12.2024 9:15
USD,12/12/2024,9:30 AM,12.12.2024 9:30
USD,12/12/2024,9:30 AM,12.12.2024 9:30
USD,12/12/2024,9:30 AM,12.12.2024 9:30
EUR,12/12/2024,9:45 AM,12.12.2024 9:45
USD,12/12/2024,2:01 PM,12.12.2024 14:01
USD,12/11/2024,9:30 AM,11.12.2024 9:30
USD,12/11/2024,9:30 AM,11.12.2024 9:30
USD,12/11/2024,9:30 AM,11.12.2024 9:30
USD,12/6/2024,9:30 AM,06.12.2024 9:30
USD,12/6/2024,9:30 AM,06.12.2024 9:30
USD,12/6/2024,9:30 AM,06.12.2024 9:30
USD,12/6/2024,11:00 AM,06.12.2024 11:00
USD,12/6/2024,11:00 AM,06.12.2024 11:00
USD,12/5/2024,9:30 AM,05.12.2024 9:30
USD,12/4/2024,9:15 AM,04.12.2024 9:15
USD,12/4/2024,10:45 AM,04.12.2024 10:45
USD,12/4/2024,11:00 AM,04.12.2024 11:00
USD,12/3/2024,11:00 AM,03.12.2024 11:00
USD,12/2/2024,11:00 AM,02.12.2024 11:00
USD,12/2/2024,11:00 AM,02.12.2024 11:00
EUR,11/29/2024,6:00 AM,29.11.2024 6:00
EUR,11/29/2024,6:00 AM,29.11.2024 6:00
USD,11/29/2024,10:45 AM,29.11.2024 10:45
EUR,11/28/2024,4:00 AM,28.11.2024 4:00
USD,11/27/2024,9:30 AM,27.11.2024 9:30
USD,11/27/2024,9:30 AM,27.11.2024 9:30
